Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
RL,Land,1,Armenia,5110,Area,6601,Land area,2012,2847000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,2,Afghanistan,5110,Area,6601,Land area,2012,65286000,Fm,Manual Estimation
RL,Land,3,Albania,5110,Area,6601,Land area,2012,2740000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,4,Algeria,5110,Area,6601,Land area,2012,238174000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,5,American Samoa,5110,Area,6601,Land area,2012,20000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,6,Andorra,5110,Area,6601,Land area,2012,47000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,7,Angola,5110,Area,6601,Land area,2012,124670000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,8,Antigua and Barbuda,5110,Area,6601,Land area,2012,44000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,9,Argentina,5110,Area,6601,Land area,2012,273669000,Fm,Manual Estimation
RL,Land,10,Australia,5110,Area,6601,Land area,2012,768230000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,11,Austria,5110,Area,6601,Land area,2012,8254000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,12,Bahamas,5110,Area,6601,Land area,2012,1001000,Fm,Manual Estimation
RL,Land,13,Bahrain,5110,Area,6601,Land area,2012,77000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,14,Barbados,5110,Area,6601,Land area,2012,43000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,16,Bangladesh,5110,Area,6601,Land area,2012,13017000,Fm,Manual Estimation
RL,Land,17,Bermuda,5110,Area,6601,Land area,2012,5000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,18,Bhutan,5110,Area,6601,Land area,2012,3811700,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,19,Bolivia (Plurinational State of),5110,Area,6601,Land area,2012,108330000,Fm,Manual Estimation
RL,Land,20,Botswana,5110,Area,6601,Land area,2012,56673000,Fm,Manual Estimation
RL,Land,21,Brazil,5110,Area,6601,Land area,2012,835814000,Fm,Manual Estimation
RL,Land,22,Aruba,5110,Area,6601,Land area,2012,18000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,23,Belize,5110,Area,6601,Land area,2012,2281000,Fm,Manual Estimation
RL,Land,25,Solomon Islands,5110,Area,6601,Land area,2012,2799000,Fm,Manual Estimation
RL,Land,26,Brunei Darussalam,5110,Area,6601,Land area,2012,527000,Fm,Manual Estimation
RL,Land,27,Bulgaria,5110,Area,6601,Land area,2012,10856000,Fm,Manual Estimation
RL,Land,28,Myanmar,5110,Area,6601,Land area,2012,65315000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,29,Burundi,5110,Area,6601,Land area,2012,2568000,Fm,Manual Estimation
RL,Land,32,Cameroon,5110,Area,6601,Land area,2012,47271000,Fm,Manual Estimation
RL,Land,33,Canada,5110,Area,6601,Land area,2012,909351000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,35,Cabo Verde,5110,Area,6601,Land area,2012,403000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,36,Cayman Islands,5110,Area,6601,Land area,2012,24000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,37,Central African Republic,5110,Area,6601,Land area,2012,62298000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,38,Sri Lanka,5110,Area,6601,Land area,2012,6271000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,39,Chad,5110,Area,6601,Land area,2012,125920000,Fm,Manual Estimation
RL,Land,40,Chile,5110,Area,6601,Land area,2012,74353200,Q,Official data reported on FAO Questionnaires from countries
RL,Land,41,"China, mainland",5110,Area,6601,Land area,2012,938821100,Fm,Manual Estimation
RL,Land,44,Colombia,5110,Area,6601,Land area,2012,110950000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,45,Comoros,5110,Area,6601,Land area,2012,186100,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,46,Congo,5110,Area,6601,Land area,2012,34150000,Fm,Manual Estimation
RL,Land,47,Cook Islands,5110,Area,6601,Land area,2012,24000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,48,Costa Rica,5110,Area,6601,Land area,2012,5106000,Fm,Manual Estimation
RL,Land,49,Cuba,5110,Area,6601,Land area,2012,10644900,Q,Official data reported on FAO Questionnaires from countries
RL,Land,50,Cyprus,5110,Area,6601,Land area,2012,924000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,52,Azerbaijan,5110,Area,6601,Land area,2012,8265800,Q,Official data reported on FAO Questionnaires from countries
RL,Land,53,Benin,5110,Area,6601,Land area,2012,11276000,Fm,Manual Estimation
RL,Land,54,Denmark,5110,Area,6601,Land area,2012,4243000,Fm,Manual Estimation
RL,Land,55,Dominica,5110,Area,6601,Land area,2012,75000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,56,Dominican Republic,5110,Area,6601,Land area,2012,4832000,Fm,Manual Estimation
RL,Land,57,Belarus,5110,Area,6601,Land area,2012,20291000,Fm,Manual Estimation
RL,Land,58,Ecuador,5110,Area,6601,Land area,2012,24836000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,59,Egypt,5110,Area,6601,Land area,2012,99545000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,60,El Salvador,5110,Area,6601,Land area,2012,2072000,Fm,Manual Estimation
RL,Land,61,Equatorial Guinea,5110,Area,6601,Land area,2012,2805000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,63,Estonia,5110,Area,6601,Land area,2012,4239000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,64,Faroe Islands,5110,Area,6601,Land area,2012,139600,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,65,Falkland Islands (Malvinas),5110,Area,6601,Land area,2012,1217000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,66,Fiji,5110,Area,6601,Land area,2012,1827000,Fm,Manual Estimation
RL,Land,67,Finland,5110,Area,6601,Land area,2012,30389000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,68,France,5110,Area,6601,Land area,2012,54756100,Fm,Manual Estimation
RL,Land,69,French Guiana,5110,Area,6601,Land area,2012,8220000,Fm,Manual Estimation
RL,Land,70,French Polynesia,5110,Area,6601,Land area,2012,366000,Fm,Manual Estimation
RL,Land,72,Djibouti,5110,Area,6601,Land area,2012,2318000,Fm,Manual Estimation
RL,Land,73,Georgia,5110,Area,6601,Land area,2012,6949000,Fm,Manual Estimation
RL,Land,74,Gabon,5110,Area,6601,Land area,2012,25767000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,75,Gambia,5110,Area,6601,Land area,2012,1012000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,79,Germany,5110,Area,6601,Land area,2012,34854000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,80,Bosnia and Herzegovina,5110,Area,6601,Land area,2012,5120000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,81,Ghana,5110,Area,6601,Land area,2012,22754000,Fm,Manual Estimation
RL,Land,82,Gibraltar,5110,Area,6601,Land area,2012,1000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,83,Kiribati,5110,Area,6601,Land area,2012,81000,Fm,Manual Estimation
RL,Land,84,Greece,5110,Area,6601,Land area,2012,12890000,Fm,Manual Estimation
RL,Land,85,Greenland,5110,Area,6601,Land area,2012,41045000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,86,Grenada,5110,Area,6601,Land area,2012,34000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,87,Guadeloupe,5110,Area,6601,Land area,2012,169000,Fm,Manual Estimation
RL,Land,88,Guam,5110,Area,6601,Land area,2012,54000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,89,Guatemala,5110,Area,6601,Land area,2012,10716000,Fm,Manual Estimation
RL,Land,90,Guinea,5110,Area,6601,Land area,2012,24572000,Fm,Manual Estimation
RL,Land,91,Guyana,5110,Area,6601,Land area,2012,19685000,Fm,Manual Estimation
RL,Land,93,Haiti,5110,Area,6601,Land area,2012,2756000,Fm,Manual Estimation
RL,Land,95,Honduras,5110,Area,6601,Land area,2012,11189000,Fm,Manual Estimation
RL,Land,96,"China, Hong Kong SAR",5110,Area,6601,Land area,2012,105000,Fm,Manual Estimation
RL,Land,97,Hungary,5110,Area,6601,Land area,2012,9053000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,98,Croatia,5110,Area,6601,Land area,2012,5596000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,99,Iceland,5110,Area,6601,Land area,2012,10025000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,100,India,5110,Area,6601,Land area,2012,297319000,Fm,Manual Estimation
RL,Land,101,Indonesia,5110,Area,6601,Land area,2012,181157000,Fm,Manual Estimation
RL,Land,102,Iran (Islamic Republic of),5110,Area,6601,Land area,2012,162855000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,103,Iraq,5110,Area,6601,Land area,2012,43432000,Fm,Manual Estimation
RL,Land,104,Ireland,5110,Area,6601,Land area,2012,6889000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,105,Israel,5110,Area,6601,Land area,2012,2164000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,106,Italy,5110,Area,6601,Land area,2012,29414000,Fm,Manual Estimation
RL,Land,107,Côte d'Ivoire,5110,Area,6601,Land area,2012,31800000,Fm,Manual Estimation
RL,Land,108,Kazakhstan,5110,Area,6601,Land area,2012,269970000,Fm,Manual Estimation
RL,Land,109,Jamaica,5110,Area,6601,Land area,2012,1083000,Fm,Manual Estimation
RL,Land,110,Japan,5110,Area,6601,Land area,2012,36456000,Fm,Manual Estimation
RL,Land,112,Jordan,5110,Area,6601,Land area,2012,8878000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,113,Kyrgyzstan,5110,Area,6601,Land area,2012,19180000,Fm,Manual Estimation
RL,Land,114,Kenya,5110,Area,6601,Land area,2012,56914000,Fm,Manual Estimation
RL,Land,115,Cambodia,5110,Area,6601,Land area,2012,17652000,Fm,Manual Estimation
RL,Land,116,Democratic People's Republic of Korea,5110,Area,6601,Land area,2012,12041000,Fm,Manual Estimation
RL,Land,117,Republic of Korea,5110,Area,6601,Land area,2012,9735000,Fm,Manual Estimation
RL,Land,118,Kuwait,5110,Area,6601,Land area,2012,1782000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,119,Latvia,5110,Area,6601,Land area,2012,6218000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,120,Lao People's Democratic Republic,5110,Area,6601,Land area,2012,23080000,Fm,Manual Estimation
RL,Land,121,Lebanon,5110,Area,6601,Land area,2012,1023000,Fm,Manual Estimation
RL,Land,122,Lesotho,5110,Area,6601,Land area,2012,3036000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,123,Liberia,5110,Area,6601,Land area,2012,9632000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,124,Libya,5110,Area,6601,Land area,2012,175954000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,125,Liechtenstein,5110,Area,6601,Land area,2012,16000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,126,Lithuania,5110,Area,6601,Land area,2012,6267400,Q,Official data reported on FAO Questionnaires from countries
RL,Land,127,Marshall Islands,5110,Area,6601,Land area,2012,18000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,128,"China, Macao SAR",5110,Area,6601,Land area,2012,2990,Q,Official data reported on FAO Questionnaires from countries
RL,Land,129,Madagascar,5110,Area,6601,Land area,2012,58179500,Fm,Manual Estimation
RL,Land,130,Malawi,5110,Area,6601,Land area,2012,9428000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,131,Malaysia,5110,Area,6601,Land area,2012,32855000,Fm,Manual Estimation
RL,Land,132,Maldives,5110,Area,6601,Land area,2012,30000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,133,Mali,5110,Area,6601,Land area,2012,122019000,Fm,Manual Estimation
RL,Land,134,Malta,5110,Area,6601,Land area,2012,32000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,135,Martinique,5110,Area,6601,Land area,2012,106000,Fm,Manual Estimation
RL,Land,136,Mauritania,5110,Area,6601,Land area,2012,103070000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,137,Mauritius,5110,Area,6601,Land area,2012,203000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,138,Mexico,5110,Area,6601,Land area,2012,194395000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,141,Mongolia,5110,Area,6601,Land area,2012,155356000,Fm,Manual Estimation
RL,Land,142,Montserrat,5110,Area,6601,Land area,2012,10000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,143,Morocco,5110,Area,6601,Land area,2012,44630000,Fm,Manual Estimation
RL,Land,144,Mozambique,5110,Area,6601,Land area,2012,78638000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,145,Micronesia (Federated States of),5110,Area,6601,Land area,2012,70000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,146,Republic of Moldova,5110,Area,6601,Land area,2012,3286000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,147,Namibia,5110,Area,6601,Land area,2012,82329000,Fm,Manual Estimation
RL,Land,148,Nauru,5110,Area,6601,Land area,2012,2000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,149,Nepal,5110,Area,6601,Land area,2012,14335000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,150,Netherlands,5110,Area,6601,Land area,2012,3372000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,151,Netherlands Antilles (former),5110,Area,6601,Land area,2012,80000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,153,New Caledonia,5110,Area,6601,Land area,2012,1828000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,154,The former Yugoslav Republic of Macedonia,5110,Area,6601,Land area,2012,2522000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,155,Vanuatu,5110,Area,6601,Land area,2012,1219000,Fm,Manual Estimation
