Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
RL,Land,156,New Zealand,5110,Area,6601,Land area,2012,26331000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,157,Nicaragua,5110,Area,6601,Land area,2012,12034000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,158,Niger,5110,Area,6601,Land area,2012,126670000,Fm,Manual Estimation
RL,Land,159,Nigeria,5110,Area,6601,Land area,2012,91077000,Fm,Manual Estimation
RL,Land,160,Niue,5110,Area,6601,Land area,2012,26000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,161,Norfolk Island,5110,Area,6601,Land area,2012,4000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,162,Norway,5110,Area,6601,Land area,2012,36524500,Q,Official data reported on FAO Questionnaires from countries
RL,Land,163,Northern Mariana Islands,5110,Area,6601,Land area,2012,46000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,165,Pakistan,5110,Area,6601,Land area,2012,77088000,Fm,Manual Estimation
RL,Land,166,Panama,5110,Area,6601,Land area,2012,7434000,Fm,Manual Estimation
RL,Land,167,Czech Republic,5110,Area,6601,Land area,2012,7723000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,168,Papua New Guinea,5110,Area,6601,Land area,2012,45286000,Fm,Manual Estimation
RL,Land,169,Paraguay,5110,Area,6601,Land area,2012,39730000,Fm,Manual Estimation
RL,Land,170,Peru,5110,Area,6601,Land area,2012,128000000,Fm,Manual Estimation
RL,Land,171,Philippines,5110,Area,6601,Land area,2012,29817000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,172,Pitcairn Islands,5110,Area,6601,Land area,2012,4700,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,173,Poland,5110,Area,6601,Land area,2012,30622000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,174,Portugal,5110,Area,6601,Land area,2012,9159000,Fm,Manual Estimation
RL,Land,175,Guinea-Bissau,5110,Area,6601,Land area,2012,2812000,Fm,Manual Estimation
RL,Land,176,Timor-Leste,5110,Area,6601,Land area,2012,1487000,Fm,Manual Estimation
RL,Land,177,Puerto Rico,5110,Area,6601,Land area,2012,887000,Fm,Manual Estimation
RL,Land,178,Eritrea,5110,Area,6601,Land area,2012,10100000,Fm,Manual Estimation
RL,Land,179,Qatar,5110,Area,6601,Land area,2012,1161000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,180,Palau,5110,Area,6601,Land area,2012,46000,Fm,Manual Estimation
RL,Land,181,Zimbabwe,5110,Area,6601,Land area,2012,38685000,Fm,Manual Estimation
RL,Land,182,Réunion,5110,Area,6601,Land area,2012,250000,Fm,Manual Estimation
RL,Land,183,Romania,5110,Area,6601,Land area,2012,23002000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,184,Rwanda,5110,Area,6601,Land area,2012,2467000,Fm,Manual Estimation
RL,Land,185,Russian Federation,5110,Area,6601,Land area,2012,1637687000,Fm,Manual Estimation
RL,Land,187,"Saint Helena, Ascension and Tristan da Cunha",5110,Area,6601,Land area,2012,39000,Fm,Manual Estimation
RL,Land,188,Saint Kitts and Nevis,5110,Area,6601,Land area,2012,26000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,189,Saint Lucia,5110,Area,6601,Land area,2012,61000,Fm,Manual Estimation
RL,Land,190,Saint Pierre and Miquelon,5110,Area,6601,Land area,2012,23000,Fm,Manual Estimation
RL,Land,191,Saint Vincent and the Grenadines,5110,Area,6601,Land area,2012,39000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,192,San Marino,5110,Area,6601,Land area,2012,6000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,193,Sao Tome and Principe,5110,Area,6601,Land area,2012,96000,Fm,Manual Estimation
RL,Land,194,Saudi Arabia,5110,Area,6601,Land area,2012,214969000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,195,Senegal,5110,Area,6601,Land area,2012,19253000,Fm,Manual Estimation
RL,Land,196,Seychelles,5110,Area,6601,Land area,2012,46000,Fm,Manual Estimation
RL,Land,197,Sierra Leone,5110,Area,6601,Land area,2012,7218000,Fm,Manual Estimation
RL,Land,198,Slovenia,5110,Area,6601,Land area,2012,2014000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,199,Slovakia,5110,Area,6601,Land area,2012,4808800,Q,Official data reported on FAO Questionnaires from countries
RL,Land,200,Singapore,5110,Area,6601,Land area,2012,70600,Fm,Manual Estimation
RL,Land,201,Somalia,5110,Area,6601,Land area,2012,62734000,Fm,Manual Estimation
RL,Land,202,South Africa,5110,Area,6601,Land area,2012,121309000,Fm,Manual Estimation
RL,Land,203,Spain,5110,Area,6601,Land area,2012,50021000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,205,Western Sahara,5110,Area,6601,Land area,2012,26600000,I,"Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
RL,Land,207,Suriname,5110,Area,6601,Land area,2012,15600000,Fm,Manual Estimation
RL,Land,208,Tajikistan,5110,Area,6601,Land area,2012,13996000,Fm,Manual Estimation
RL,Land,209,Swaziland,5110,Area,6601,Land area,2012,1720000,Fm,Manual Estimation
RL,Land,210,Sweden,5110,Area,6601,Land area,2012,40734000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,211,Switzerland,5110,Area,6601,Land area,2012,3951600,Q,Official data reported on FAO Questionnaires from countries
RL,Land,212,Syrian Arab Republic,5110,Area,6601,Land area,2012,18363000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,213,Turkmenistan,5110,Area,6601,Land area,2012,46993000,Fm,Manual Estimation
RL,Land,214,"China, Taiwan Province of",5110,Area,6601,Land area,2012,3541000,Fm,Manual Estimation
RL,Land,215,United Republic of Tanzania,5110,Area,6601,Land area,2012,88580000,Fm,Manual Estimation
RL,Land,216,Thailand,5110,Area,6601,Land area,2012,51089000,Fm,Manual Estimation
RL,Land,217,Togo,5110,Area,6601,Land area,2012,5439000,Fm,Manual Estimation
RL,Land,218,Tokelau,5110,Area,6601,Land area,2012,1000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,219,Tonga,5110,Area,6601,Land area,2012,72000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,220,Trinidad and Tobago,5110,Area,6601,Land area,2012,513000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,221,Oman,5110,Area,6601,Land area,2012,30950000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,222,Tunisia,5110,Area,6601,Land area,2012,15536000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,223,Turkey,5110,Area,6601,Land area,2012,76963000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,224,Turks and Caicos Islands,5110,Area,6601,Land area,2012,95000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,225,United Arab Emirates,5110,Area,6601,Land area,2012,8360000,Fm,Manual Estimation
RL,Land,226,Uganda,5110,Area,6601,Land area,2012,20052000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,227,Tuvalu,5110,Area,6601,Land area,2012,3000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,229,United Kingdom,5110,Area,6601,Land area,2012,24193000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,230,Ukraine,5110,Area,6601,Land area,2012,57932000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,231,United States of America,5110,Area,6601,Land area,2012,914742000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,233,Burkina Faso,5110,Area,6601,Land area,2012,27360000,Fm,Manual Estimation
RL,Land,234,Uruguay,5110,Area,6601,Land area,2012,17502000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,235,Uzbekistan,5110,Area,6601,Land area,2012,42540000,Fm,Manual Estimation
RL,Land,236,Venezuela (Bolivarian Republic of),5110,Area,6601,Land area,2012,88205000,Fm,Manual Estimation
RL,Land,237,Viet Nam,5110,Area,6601,Land area,2012,31007000,Fm,Manual Estimation
RL,Land,238,Ethiopia,5110,Area,6601,Land area,2012,100000000,Fm,Manual Estimation
RL,Land,239,British Virgin Islands,5110,Area,6601,Land area,2012,15000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,240,United States Virgin Islands,5110,Area,6601,Land area,2012,35000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,243,Wallis and Futuna Islands,5110,Area,6601,Land area,2012,14000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,244,Samoa,5110,Area,6601,Land area,2012,283000,Fm,Manual Estimation
RL,Land,249,Yemen,5110,Area,6601,Land area,2012,52797000,Fm,Manual Estimation
RL,Land,250,Democratic Republic of the Congo,5110,Area,6601,Land area,2012,226705000,Fm,Manual Estimation
RL,Land,251,Zambia,5110,Area,6601,Land area,2012,74339000,Fm,Manual Estimation
RL,Land,255,Belgium,5110,Area,6601,Land area,2012,3028000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,256,Luxembourg,5110,Area,6601,Land area,2012,259000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,258,Anguilla,5110,Area,6601,Land area,2012,9000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,259,Channel Islands,5110,Area,6601,Land area,2012,19000,I,"Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
RL,Land,264,Isle of Man,5110,Area,6601,Land area,2012,57000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,270,Mayotte,5110,Area,6601,Land area,2012,37400,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,272,Serbia,5110,Area,6601,Land area,2012,8746000,Fm,Manual Estimation
RL,Land,273,Montenegro,5110,Area,6601,Land area,2012,1345000,Fm,Manual Estimation
RL,Land,299,Occupied Palestinian Territory,5110,Area,6601,Land area,2012,602000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,351,China,5110,Area,6601,Land area,2012,942470090,A,"Aggregate, may include official, semi-official, estimated or calculated data"
RL,Land,5000,World,5110,Area,6601,Land area,2012,13009332990,A,"Aggregate, may include official, semi-official, estimated or calculated data"
RL,Land,5100,Africa,5110,Area,6601,Land area,2012,2964919000,A,"Aggregate, may include official, semi-official, estimated or calculated data"
RL,Land,5101,Eastern Africa,5110,Area,6601,Land area,2012,605725000,A,"Aggregate, may include official, semi-official, estimated or calculated data"
RL,Land,5102,Middle Africa,5110,Area,6601,Land area,2012,649682000,A,"Aggregate, may include official, semi-official, estimated or calculated data"
RL,Land,5103,Northern Africa,5110,Area,6601,Land area,2012,838039000,A,"Aggregate, may include official, semi-official, estimated or calculated data"
RL,Land,5104,Southern Africa,5110,Area,6601,Land area,2012,265067000,A,"Aggregate, may include official, semi-official, estimated or calculated data"
RL,Land,5105,Western Africa,5110,Area,6601,Land area,2012,606406000,A,"Aggregate, may include official, semi-official, estimated or calculated data"
RL,Land,5200,Americas,5110,Area,6601,Land area,2012,3879104100,A,"Aggregate, may include official, semi-official, estimated or calculated data"
RL,Land,5203,Northern America,5110,Area,6601,Land area,2012,1865166000,A,"Aggregate, may include official, semi-official, estimated or calculated data"
RL,Land,5204,Central America,5110,Area,6601,Land area,2012,245227000,A,"Aggregate, may include official, semi-official, estimated or calculated data"
RL,Land,5206,Caribbean,5110,Area,6601,Land area,2012,22599900,A,"Aggregate, may include official, semi-official, estimated or calculated data"
RL,Land,5207,South America,5110,Area,6601,Land area,2012,1746111200,A,"Aggregate, may include official, semi-official, estimated or calculated data"
RL,Land,5300,Asia,5110,Area,6601,Land area,2012,3103313190,A,"Aggregate, may include official, semi-official, estimated or calculated data"
RL,Land,5301,Central Asia,5110,Area,6601,Land area,2012,392679000,A,"Aggregate, may include official, semi-official, estimated or calculated data"
RL,Land,5302,Eastern Asia,5110,Area,6601,Land area,2012,1156058090,A,"Aggregate, may include official, semi-official, estimated or calculated data"
RL,Land,5303,Southern Asia,5110,Area,6601,Land area,2012,640012700,A,"Aggregate, may include official, semi-official, estimated or calculated data"
RL,Land,5304,South-Eastern Asia,5110,Area,6601,Land area,2012,434056600,A,"Aggregate, may include official, semi-official, estimated or calculated data"
RL,Land,5305,Western Asia,5110,Area,6601,Land area,2012,480506800,A,"Aggregate, may include official, semi-official, estimated or calculated data"
RL,Land,5400,Europe,5110,Area,6601,Land area,2012,2213342000,A,"Aggregate, may include official, semi-official, estimated or calculated data"
RL,Land,5401,Eastern Europe,5110,Area,6601,Land area,2012,1805260800,A,"Aggregate, may include official, semi-official, estimated or calculated data"
RL,Land,5402,Northern Europe,5110,Area,6601,Land area,2012,169937500,A,"Aggregate, may include official, semi-official, estimated or calculated data"
RL,Land,5403,Southern Europe,5110,Area,6601,Land area,2012,129653000,A,"Aggregate, may include official, semi-official, estimated or calculated data"
RL,Land,5404,Western Europe,5110,Area,6601,Land area,2012,108490700,A,"Aggregate, may include official, semi-official, estimated or calculated data"
RL,Land,5500,Oceania,5110,Area,6601,Land area,2012,848654700,A,"Aggregate, may include official, semi-official, estimated or calculated data"
RL,Land,5501,Australia & New Zealand,5110,Area,6601,Land area,2012,794565000,A,"Aggregate, may include official, semi-official, estimated or calculated data"
RL,Land,5502,Melanesia,5110,Area,6601,Land area,2012,52959000,A,"Aggregate, may include official, semi-official, estimated or calculated data"
RL,Land,5503,Micronesia,5110,Area,6601,Land area,2012,317000,A,"Aggregate, may include official, semi-official, estimated or calculated data"
RL,Land,5504,Polynesia,5110,Area,6601,Land area,2012,813700,A,"Aggregate, may include official, semi-official, estimated or calculated data"
RL,Land,5706,European Union,5110,Area,6601,Land area,2012,423810300,A,"Aggregate, may include official, semi-official, estimated or calculated data"
RL,Land,5801,Least Developed Countries,5110,Area,6601,Land area,2012,2016691300,A,"Aggregate, may include official, semi-official, estimated or calculated data"
RL,Land,5802,Land Locked Developing Countries,5110,Area,6601,Land area,2012,1592763500,A,"Aggregate, may include official, semi-official, estimated or calculated data"
RL,Land,5803,Small Island Developing States,5110,Area,6601,Land area,2012,119571600,A,"Aggregate, may include official, semi-official, estimated or calculated data"
RL,Land,5815,Low Income Food Deficit Countries,5110,Area,6601,Land area,2012,2621845300,A,"Aggregate, may include official, semi-official, estimated or calculated data"
RL,Land,5817,Net Food Importing Developing Countries,5110,Area,6601,Land area,2012,2926292200,A,"Aggregate, may include official, semi-official, estimated or calculated data"
